# Instantané Mémoire : nombre d'illustrations POP par notice Mérimée.
# Généré par `python -m merimee_etl.memoire`, jamais à la main.
# Un nombre, pas une image : ces photographies sont sous droits réservés.
reference,images
PA00078479,38
PA00078480,17
PA00078481,1
PA00078482,1
PA00078483,3
PA00078484,1
PA00078485,1
PA00078486,1
PA00078487,15
PA00078488,70
PA00078489,1
PA00078490,12
PA00078491,21
PA00078492,12
PA00078493,1
PA00078494,1
PA00078495,1
PA00078496,1
PA00078497,2
PA00078498,5
PA00078499,1
PA00078500,28
PA00078501,23
PA00078502,5
PA00078503,4
PA00078504,6
PA00078505,1
PA00078506,39
PA00078507,1
PA00078508,1
PA00078509,23
PA00078510,2
PA00078511,4
PA00078512,1
PA00078514,25
PA00078515,1
PA00078516,1
PA00078517,4
PA00078518,25
PA00078519,1
PA00078520,1
PA00078521,1
PA00078522,1
PA00078523,1
PA00078524,1
PA00078525,1
PA00078526,12
PA00078527,2
PA00078528,3
PA00078529,4
PA00078530,15
PA00078531,6
PA00078532,31
PA00078533,1
PA00078534,3
PA00078535,11
PA00078537,1
PA00078538,1
PA00078539,7
PA00078540,6
PA00078541,2
PA00078542,21
PA00078543,18
PA00078544,24
PA00078545,21
PA00078546,9
PA00078547,6
PA00078548,1
PA00078549,1
PA00078550,45
PA00078551,2
PA00078552,1
PA00078553,12
PA00078554,2
PA00078557,1
PA00078558,2
PA00078559,14
PA00078560,4
PA00078561,1
PA00078562,2
PA00078563,10
PA00078564,1
PA00078565,12
PA00078567,18
PA00078568,9
PA00078569,23
PA00078570,6
PA00078571,5
PA00078572,20
PA00078573,16
PA00078574,1
PA00078575,5
PA00078576,10
PA00078577,4
PA00078579,11
PA00078580,14
PA00078583,5
PA00078584,3
PA00078585,5
PA00078586,7
PA00078587,23
PA00078588,1
PA00078589,12
PA00078590,15
PA00078591,9
PA00078592,14
PA00078593,10
PA00078594,3
PA00078595,30
PA00078596,19
PA00078597,3
PA00078598,10
PA00078599,19
PA00078600,12
PA00078601,7
PA00078602,2
PA00078603,2
PA00078604,17
PA00078605,12
PA00078606,31
PA00078607,32
PA00078609,2
PA00078610,387
PA00078613,1
PA00078618,223
PA00078619,173
PA00078620,107
