# Instantané Mémoire : nombre d'illustrations POP par notice Mérimée.
# Généré par `python -m merimee_etl.memoire`, jamais à la main.
# Un nombre, pas une image : ces photographies sont sous droits réservés.
reference,images
PA00090813,14
PA00090814,8
PA00090815,16
PA00090816,4
PA00090817,9
PA00090818,6
PA00090819,14
PA00090820,5
PA00090821,24
PA00090822,8
PA00090823,8
PA00090824,5
PA00090825,4
PA00090826,4
PA00090827,7
PA00090828,3
PA00090829,4
PA00090830,12
PA00090831,3
PA00090832,6
PA00090833,6
PA00090834,3
PA00090835,1
PA00090836,2
PA00090837,4
PA00090838,3
PA00090839,3
PA00090840,3
PA00090841,4
PA00090842,6
PA00090843,2
PA00090844,1
PA00090845,2
PA00090846,3
PA00090847,2
PA00090848,2
PA00090849,2
PA00090850,2
PA00090851,3
PA00090852,3
PA00090853,5
PA00090854,3
PA00090855,4
PA00090856,3
PA00090857,2
PA00090858,2
PA00090859,1
PA00090860,2
PA00090861,2
PA00090862,4
PA00090863,4
PA00090864,5
PA00090865,1
PA00090867,2
PA00090868,4
PA00090869,5
PA00090870,14
PA00090871,64
PA00090872,1
PA00090874,5
PA00090875,101
PA00090877,17
PA00090878,2
PA00090879,8
PA00090880,7
PA00090881,4
PA00090882,1
PA00090883,34
PA00090884,4
PA00090886,3
PA00090888,3
PA00090889,2
PA00090890,1
PA00090891,1
PA00090892,1
PA00090893,19
PA00090894,1
PA00090895,8
PA00090896,152
PA00090897,3
PA00090898,21
PA00090899,79
PA00090900,1
PA00090901,34
PA00090902,39
PA00090903,3
PA00090904,5
PA00090905,3
PA00090906,45
PA00090907,7
PA00090908,1
PA00090909,1
PA00090910,2
PA00090911,6
PA00090912,3
PA00090914,10
PA00090916,1
PA00090918,2
PA00090920,2
PA00090921,7
PA00090922,9
PA00090923,2
PA00090924,2
PA00090925,2
PA00090926,5
PA00090927,7
PA00090928,1
PA00090929,10
PA00090930,4
PA00090931,9
PA00090933,3
PA00090934,5
PA00090935,4
PA00090936,4
PA00090937,1
PA00090938,4
PA00090939,5
PA00090940,4
PA00090941,2
PA00090942,3
PA00090943,6
PA00090944,6
PA00090945,2
PA00090946,6
PA00090947,8
PA00090948,2
PA00090949,3
PA00090950,6
PA00090951,4
PA00090952,3
PA00090953,2
PA00090954,1
PA00090955,2
PA00090956,3
PA00090957,2
PA00090959,19
PA00090960,3
PA00090962,4
PA00090963,5
PA00090965,10
PA00090966,1
PA00090967,1
PA00090969,1
PA00090974,11
PA00090975,12
PA00090976,1
PA00090977,9
PA00090978,1
PA00090979,23
PA00090980,10
PA00090982,9
PA00090983,9
PA00090984,1
PA00090985,4
PA00090986,12
PA00090987,11
PA00090988,31
PA00090989,4
PA00090990,2
PA00090991,10
PA00090992,9
PA00090993,18
PA00090994,15
PA00090995,5
PA00090996,6
PA00090997,3
PA00090998,1
PA00090999,6
PA00091000,3
PA00091001,5
PA00091002,2
PA00091003,4
PA00091004,5
PA00091005,3
PA00091006,8
PA00091007,8
PA00091008,4
PA00091009,6
PA00091010,1
PA00091011,5
PA00091012,12
PA00091013,4
PA00091016,16
PA00091017,1
PA00091018,1
PA00091019,1
PA00091020,3
PA00091021,8
PA00091022,7
PA00091024,3
PA00091025,3
PA00091026,3
PA00091027,3
PA00091028,5
PA00091029,3
PA00091030,4
PA00091031,4
PA00091032,13
PA00091033,1
PA00091034,12
PA00091036,4
PA00091037,12
PA00091038,1
PA00091039,9
PA00091041,13
PA00091042,1
PA00091043,1
PA00091045,3
PA00091046,3
PA00091048,7
PA00091049,4
PA00091050,1
PA00091052,1
PA00091053,2
PA00091054,8
PA00091055,3
PA00091056,8
PA00091057,9
PA00091058,1
PA00091059,1
PA00091060,13
PA00091061,1
PA00091062,8
PA00091063,1
PA00091064,4
PA00091065,1
PA00091066,11
PA00091067,1
PA00091071,1
PA00091072,15
PA00091074,87
PA00091075,56
PA00091076,121
PA00091078,4
PA00091080,16
PA00091081,1
PA00091082,2
PA00091083,5
PA00091084,5
PA00091085,3
PA00091086,3
PA00091087,3
PA00091088,4
PA00091089,2
PA00091090,16
PA00091091,8
PA00091092,7
PA00091094,5
PA00091095,2
PA00091096,2
PA00091097,1
PA00091098,4
PA00091099,4
PA00091100,4
PA00091101,1
PA00091102,1
PA00091103,103
PA00091104,12
PA00091105,3
PA00091106,5
PA00091109,2
PA00091110,11
PA00091111,3
PA00091112,3
PA00091113,6
PA00091114,4
PA00091115,3
PA00091116,2
PA00091117,1
PA00091118,2
PA00091119,3
PA00091120,3
PA00091121,1
PA00091122,4
PA00091123,16
PA00091124,4
PA00091125,3
PA00091127,2
PA00091129,2
PA00091130,3
PA00091131,4
PA00091132,3
PA00091133,9
PA00091134,37
PA00091135,4
PA00091136,2
PA00091137,50
PA00091138,32
PA00091139,22
PA00091140,22
PA00091141,1
PA00091142,1
PA00091143,3
PA00091144,4
PA00091145,14
PA00091146,2
PA00091147,1
PA00091148,1
PA00091149,3
PA00091150,7
PA00091152,12
PA00091154,12
PA00091155,1
PA00091156,2
PA00091157,5
PA00091158,5
PA00091159,18
PA00091161,5
PA00091162,9
PA00091163,5
PA00091166,4
PA00091167,3
PA00091168,7
PA00091169,11
PA00091170,11
PA00091171,1
PA00091172,1
PA00091173,2
PA00091174,11
PA00091175,1
PA00091176,13
PA00091177,55
PA00091178,4
PA00091179,38
PA00091180,4
PA00091181,5
PA00091183,3
PA00091184,9
PA00091185,10
PA00091186,9
PA00091187,4
PA00091189,27
PA00091190,54
PA00091191,4
PA00091192,16
PA00091193,1
PA00091194,4
PA00091195,6
PA00091196,1
PA00091197,1
PA00091198,2
PA00091200,2
PA00091201,1
PA00091202,2
PA00091204,3
PA00091206,7
PA00091207,9
PA00091208,1
PA00091209,3
PA00091211,1
PA00091212,7
PA00091213,1
PA00091214,1
PA00091215,1
PA00091216,5
PA00091217,1
PA00091218,1
PA00091219,1
PA00091220,2
PA00091221,1
PA00091226,6
PA00091227,14
PA00091228,1
PA00091229,1
PA00091230,3
PA00091231,1
PA00091232,15
PA00091233,1
PA00091234,25
PA00091235,2
PA00091236,1
PA00091237,2
PA00091238,24
PA00091239,2
PA00091240,1
PA00091241,9
PA00091242,1
PA00091244,31
PA00091245,31
PA00091246,1
PA00091249,10
PA00091250,1
PA00091251,50
PA00091252,1
PA00091253,2
PA00091254,1
PA00091255,14
PA00091256,1
PA00091257,1
PA00091258,1
PA00091259,7
PA00091260,14
PA00091261,2
PA00091262,1
PA00091263,2
PA00091264,1
PA00091265,2
PA00091266,15
PA00091267,1
PA00091268,1
PA00091269,3
PA00091270,5
PA00091271,5
PA00091274,5
PA00091276,2
PA00091277,5
PA00091278,2
PA00091279,20
PA00091280,4
PA00091281,1
PA00091282,2
PA00091283,1
PA00091288,1
PA00091289,1
PA00091290,1
PA00091291,2
PA00091292,21
PA00091293,7
PA00091295,2
PA00091299,3
PA00091302,4
PA00091303,11
PA00091304,8
PA00091305,3
PA00091306,1
PA00091307,6
PA00091308,6
PA00091310,171
PA00091311,4
PA00091312,30
PA00091313,7
PA00091314,1
PA00091315,2
PA00091316,1
PA00091317,6
PA00091318,2
PA00091319,1
PA00091320,6
PA00091321,3
PA00091322,1
PA00091323,2
PA00091324,1
PA00091325,82
PA00091327,1
PA00091328,3
PA00091329,2
PA00091330,21
PA00091332,7
PA00091333,7
PA00091334,9
PA00091335,6
PA00091336,1
PA00091337,3
PA00091338,13
PA00091339,28
PA00091340,2
PA00091341,7
PA00091344,9
PA00091345,1
PA00091346,2
PA00091347,1
PA00091348,7
PA00091349,1
PA00091350,1
PA00091351,1
PA00091352,2
PA00091353,1
PA00091354,4
PA00091355,7
PA00091356,3
PA00091357,32
PA00091358,4
PA00091359,23
PA00091360,2
PA00091361,2
PA00091362,1
PA00091363,13
PA00091364,11
PA00091365,5
PA00091366,9
PA00091367,2
PA00091368,1
PA00091369,1
PA00091370,1
PA00091371,3
PA00091372,1
PA00091373,3
PA00091374,9
PA00091375,1
PA00091376,1
PA00091378,9
PA00091379,6
PA00091380,5
PA00091381,1
PA00091382,1
PA00091383,13
PA00091384,11
PA00091385,33
PA00091386,60
PA00091387,28
PA00091388,56
PA00091389,6
PA00091390,20
PA00091391,8
PA00091392,14
PA00091393,13
PA00091394,2
PA00091395,16
PA00091396,1
PA00091397,5
PA00091398,7
PA00091399,10
PA00091400,6
PA00091401,1
PA00091402,7
PA00091404,1
PA00091406,1
PA00091407,1
PA00091408,2
PA00091409,8
PA00091411,2
PA00091412,24
PA00091413,5
PA00091414,2
PA00091415,1
PA00091416,12
PA00091417,3
PA00091418,1
PA00091419,2
PA00091420,14
PA00091421,11
PA00091422,1
PA00091423,2
PA00091424,3
PA00091425,1
PA00091426,2
PA00091427,1
PA00091428,2
PA00091429,4
PA00091430,2
PA00091431,4
PA00091432,4
PA00091433,3
PA00091434,3
PA00091435,5
PA00091436,8
PA00091437,17
PA00091438,1
PA00091439,1
PA00091441,1
PA00091442,22
PA00091443,1
PA00091444,3
PA00091445,13
PA00091446,1
PA00091448,2
PA00091449,1
PA00091450,1
PA00091451,2
PA00091452,2
PA00091453,1
PA00091454,8
PA00091455,1
PA00091456,1
PA00091457,6
PA00091458,1
PA00091459,1
PA00091460,1
PA00091461,2
PA00091462,31
PA00091465,8
PA00091466,2
PA00091467,54
PA00091468,6
PA00091469,3
PA00091470,27
PA00091471,12
PA00091472,8
PA00091473,1
PA00091475,3
PA00091476,4
PA00091477,1
PA00091478,1
PA00091479,1
PA00091480,5
PA00091481,5
PA00091482,1
PA00091483,1
PA00091484,2
PA00091485,4
PA00091486,2
PA00091487,1
PA00091488,1
PA00091489,1
PA00091490,1
PA00091491,8
PA00091492,19
PA00091493,19
PA00091494,1
PA00091495,1
PA00091496,2
PA00091498,7
PA00091499,1
PA00091500,1
PA00091501,1
PA00091502,1
PA00091503,4
PA00091504,2
PA00091505,1
PA00091506,240
PA00091507,1
PA00091509,1
PA00091510,6
PA00091511,1
PA00091512,2
PA00091513,26
PA00091514,1
PA00091515,5
PA00091516,8
PA00091517,14
PA00091518,7
PA00091519,14
PA00091520,15
PA00091521,1
PA00091522,19
PA00091523,5
PA00091524,16
PA00091525,3
PA00091526,10
PA00091527,15
PA00091528,4
PA00091529,5
PA00091535,4
PA00091536,2
PA00091537,1
PA00091538,4
PA00091539,2
PA00091540,1
PA00091541,1
PA00091542,5
PA00091543,3
PA00091544,3
PA00091545,3
PA00091546,66
PA00091547,2
PA00091548,3
PA00091549,1
PA00091550,2
PA00091551,3
PA00091552,4
PA00091553,4
PA00091554,6
PA00091555,2
PA00091557,1
PA00091558,1
PA00091559,5
PA00091560,8
PA00091562,6
PA00091563,5
PA00091564,5
PA00091565,2
PA00091566,22
PA00091567,23
PA00091568,9
PA00091569,1
PA00091570,1
PA00091571,28
PA00091572,2
PA00091573,34
PA00091574,4
PA00091575,1
PA00091576,1
PA00091577,1
PA00091578,4
PA00091579,3
PA00091580,1
PA00091583,2
PA00091584,4
PA00091585,13
PA00091586,2
PA00091587,1
PA00091588,1
PA00091589,1
PA00091590,11
PA00091591,5
PA00091592,14
PA00091593,1
PA00091594,3
PA00091595,4
PA00091596,7
PA00091597,1
PA00091598,1
PA00091599,1
PA00091600,1
PA00091601,2
PA00091604,4
PA00091605,1
PA00091606,5
PA00091607,7
PA00091608,1
PA00091609,3
PA00091610,3
PA00091611,4
PA00091612,6
PA00091613,9
PA00091614,5
PA00091615,7
PA00091617,1
PA00091618,15
PA00091619,1
PA00091623,1
PA00091624,1
PA00091625,4
PA00091626,6
PA00091627,14
PA00091628,1
PA00091629,11
PA00091630,4
PA00091631,6
PA00091632,1
PA00091633,1
PA00091634,1
PA00091635,1
PA00091636,2
PA00091637,5
PA00091638,13
PA00091639,27
PA00091640,1
PA00091641,1
PA00091643,2
PA00091644,1
PA00091645,1
PA00091646,11
PA00091647,1
PA00091651,1
PA00091652,1
PA00091654,2
PA00091655,1
PA00091656,2
PA00091658,55
PA00091660,1
PA00091661,7
PA00091662,2
PA00091663,1
PA00091664,1
PA00091665,8
PA00091666,3
PA00091669,3
PA00091670,3
PA00091671,1
PA00091672,3
PA00091673,2
PA00091674,57
PA00091675,2
PA00091676,2
PA00091677,3
PA00091678,2
PA00091679,2
PA00091680,2
PA00091681,1
PA00091682,10
PA00091683,1
PA00091684,9
PA00091687,21
PA00091688,4
PA00091689,19
PA00091692,1
PA00091693,1
PA00091695,5
PA00091696,1
PA00091697,1
PA00091698,4
PA00091699,1
PA00091700,1
PA00091701,2
PA00091702,2
PA00091703,4
PA00091704,22
PA00091705,4
PA00091706,24
PA00091707,11
PA00091708,11
PA00091709,7
PA00091710,14
PA00091711,6
PA00091713,3
PA00091714,5
PA00091715,23
PA00091716,4
PA00091717,2
PA00091718,1
PA00091719,1
PA00091720,8
PA00091721,3
PA00091722,35
PA00091723,5
PA00091724,4
PA00091725,2
PA00091726,2
PA00091727,28
PA00091728,105
PA00091729,4
PA00091730,5
PA00091731,2
PA00091732,2
PA00091733,3
PA00091735,4
PA00091736,7
PA00091737,3
PA00091738,1
PA00091739,2
PA00091740,1
PA00091741,3
PA00091742,22
PA00091743,12
PA00091744,4
PA00091745,4
PA00091746,1
PA00091747,6
PA00091748,2
PA00091749,4
PA00091750,15
PA00091751,14
PA00091752,2
PA00091753,6
PA00091755,7
PA00091756,47
PA00091757,4
PA00091759,46
PA00091760,2
PA00091761,4
PA00091762,2
PA00091763,8
PA00091764,2
PA00091765,6
PA00091766,6
PA00091767,5
PA00091768,5
PA00091769,3
PA00091770,4
PA00091771,2
PA00091772,119
PA00091773,1
PA00091774,1
PA00091775,1
PA00091776,1
PA00091777,1
PA00091778,22
PA00091779,4
PA00091780,2
PA00091781,1
PA00091782,2
PA00091783,1
PA00091784,19
PA00091785,22
PA00091786,2
PA00091787,2
PA00091788,1
PA00091789,2
PA00091790,1
PA00091791,1
PA00091792,1
PA00091793,2
PA00091794,3
PA00091795,6
PA00091796,2
PA00091797,2
PA00091798,1
PA00091799,1
PA00091800,1
PA00091801,1
PA00091802,1
PA00091803,1
PA00091804,2
PA00091805,2
PA00091806,69
PA00091807,7
PA00091808,1
PA00091809,7
PA00091812,1
PA00091814,10
PA00091815,10
PA00091817,1
PA00091849,98
PA00091850,8
PA00091851,25
PA00091852,137
PA00091853,7
PA00091854,38
PA00091855,6
PA00091856,84
PA00091857,20
PA00091858,8
PA00091859,10
PA00091860,22
PA00091861,69
PA00091862,22
PA00091863,24
PA00091864,3
PA00091865,30
PA00091866,4
PA00091867,39
PA00091868,3
PA00091869,1
PA00091870,97
PA00091871,4
PA00091872,4
PA00091873,9
PA00091874,10
PA00091875,83
PA00091876,19
PA00091877,27
PA00091878,38
PA00091879,3
PA00091880,46
PA00091881,5
PA00091882,10
PA00091883,38
PA00091884,34
PA00091885,17
PA00091886,19
PA00091887,405
PA00091888,26
PA00091889,11
PA00091890,29
PA00091891,25
PA00091892,8
PA00091893,14
PA00091894,91
PA00091895,5
PA00091896,19
PA00091897,7
PA00091898,14
PA00091899,3
PA00091900,3
PA00091901,11
PA00091902,48
PA00091903,5
PA00091904,153
PA00091905,72
PA00091906,5
PA00091907,3
PA00091908,5
PA00091909,3
PA00091910,10
PA00091911,7
PA00091912,4
PA00091913,5
PA00091914,10
PA00091915,3
PA00091916,7
PA00091917,43
PA00091918,47
PA00091919,54
PA00091920,5
PA00091921,23
PA00091922,20
PA00091923,9
PA00091924,99
PA00091925,6
PA00091926,14
PA00091927,11
PA00091928,2
PA00091929,8
PA00091930,15
PA00091931,10
PA00091932,4
PA00091933,49
PA00091934,68
PA00091935,2
PA00091936,13
PA00091937,1
PA00091938,12
PA00091939,32
PA00091940,42
PA00091941,28
PA00091942,24
PA00091943,37
PA00091944,44
PA00091945,2
PA00091946,32
PA00091947,59
PA00091948,4
PA00091949,2
PA00091950,25
PA00091951,13
PA00091952,24
PA00091953,64
PA00091954,4
PA00091955,20
PA00091956,92
PA00091957,17
PA00091958,9
PA00091959,76
PA00091960,41
PA00091961,7
PA00091962,38
PA00091963,37
PA00091964,16
PA00091965,9
PA00091966,9
PA00091967,48
PA00091968,3
PA00091969,14
PA00091970,4
PA00091971,5
PA00091972,27
PA00091973,9
PA00091974,116
PA00091975,24
PA00091976,13
PA00091977,4
PA00091978,7
PA00091979,683
PA00091980,8
PA00091981,13
PA00091982,6
PA00091983,12
PA00091984,7
PA00091985,17
PA00091986,14
PA00091987,30
PA00091988,210
PA00091989,16
PA00091990,14
PA00091991,12
PA00091992,15
PA00091993,68
PA00091994,20
PA00091995,2
PA00091997,26
PA00091998,10
PA00091999,89
PA00092000,59
PA00092001,10
PA00092002,49
PA00092003,18
PA00092004,18
PA00092005,16
PA00092006,34
PA00092007,11
PA00092008,5
PA00092009,7
PA00092010,26
PA00092011,10
PA00092012,10
PA00092013,12
PA00092014,5
PA00092015,8
PA00092016,13
PA00092017,14
PA00092018,23
PA00092019,10
PA00092020,18
PA00092021,19
PA00092022,9
PA00092023,22
PA00092024,10
PA00092025,19
PA00092026,7
PA00092027,34
PA00092028,16
PA00092029,6
PA00092030,5
PA00092031,20
PA00092032,5
PA00092033,4
PA00092035,4
PA00092036,8
PA00092037,8
PA00092038,5
PA00092039,34
PA00092040,1
PA00092041,30
PA00092042,1
PA00092043,14
PA00092044,8
PA00092045,50
PA00092046,4
PA00092047,6
PA00092048,24
PA00092049,6
PA00092050,4
PA00092051,38
PA00092052,15
PA00092053,7
PA00092054,19
PA00092055,10
PA00092056,9
PA00092057,19
PA00092058,27
PA00092059,17
PA00092060,38
PA00092061,23
PA00092062,20
PA00092063,2
PA00092064,1
PA00092065,10
PA00092066,5
PA00092067,3
PA00092068,4
PA00092069,32
PA00092070,2
PA00092071,3
PA00092072,10
PA00092073,17
PA00092074,4
PA00092075,8
PA00092076,7
PA00092077,1
PA00092078,20
PA00092079,10
PA00092080,5
PA00092081,59
PA00092082,18
PA00092083,53
PA00092084,6
PA00092085,53
PA00092086,58
PA00092087,7
PA00092088,3
PA00092089,8
PA00092090,32
PA00092091,14
PA00092092,109
PA00092093,59
PA00092094,55
PA00092095,27
PA00092096,10
PA00092097,4
PA00092098,4
PA00092099,3
PA00092100,2
PA00092101,9
PA00092102,21
PA00092103,1
PA00092104,4
PA00092105,12
PA00092106,35
PA00092107,52
PA00092108,9
PA00092109,8
PA00092110,37
PA00092111,55
PA00092112,4
PA00092113,40
PA00092114,11
PA00092115,48
PA00092116,156
PA00092117,30
PA00092118,11
PA00092119,24
PA00092120,203
PA00092121,8
PA00092122,4
PA00092123,12
PA00092124,54
PA00092125,8
PA00092126,13
PA00092127,8
PA00092128,71
PA00092129,8
PA00092130,3
PA00092131,31
PA00092132,11
PA00092133,85
PA00092134,12
PA00092135,29
PA00092136,21
PA00092137,4
PA00092138,18
PA00092139,272
PA00092140,5
PA00092141,9
PA00092142,18
PA00092143,7
PA00092144,41
PA00092145,5
PA00092146,29
PA00092147,45
PA00092148,7
PA00092149,32
PA00092150,88
PA00092151,46
PA00092152,19
PA00092153,6
PA00092154,5
PA00092155,9
PA00092156,6
PA00092157,15
PA00092158,3
PA00092159,10
PA00092160,3
PA00092161,18
PA00092162,56
PA00092163,18
PA00092164,4
PA00092165,43
PA00092166,83
PA00092167,6
PA00092168,13
PA00092169,6
PA00092170,5
PA00092171,7
PA00092172,8
PA00092173,8
PA00092174,20
PA00092175,8
PA00092176,8
PA00092177,48
PA00092178,16
PA00092179,7
PA00092180,3
PA00092181,64
PA00092182,154
PA00092183,15
PA00092184,2
PA00092185,12
PA00092186,17
PA00092187,2
PA00092188,8
PA00092189,85
PA00092190,40
PA00092191,19
PA00092192,41
PA00092193,38
PA00092194,13
PA00092195,8
PA00092196,11
PA00092197,6
PA00092198,26
PA00092199,3
PA00092200,7
PA00092201,20
PA00092202,10
PA00092203,86
PA00092204,97
PA00092205,45
PA00092206,31
PA00092207,13
PA00092208,38
PA00092209,176
PA00092210,8
PA00092211,73
PA00092212,517
PA00092213,192
PA00092214,10
PA00092215,1
PA00092216,3
PA00092217,33
PA00092218,3
PA00092219,49
PA00092220,51
PA00092221,35
PA00092222,37
PA00092223,33
PA00092224,8
PA00092225,5
PA00092226,9
PA00092227,78
PA00092228,2
PA00092229,88
PA00092230,33
PA00092231,100
PA00092232,33
PA00092233,10
PA00092234,98
PA00092235,12
PA00092236,9
PA00092237,4
PA00092238,19
PA00092239,49
PA00092240,16
PA00092241,6
PA00092242,75
PA00092243,23
PA00092244,5
PA00092245,53
PA00092246,93
PA00092247,4
PA00092248,5
PA00092249,92
PA00092250,6
PA00092251,1
PA00092252,10
PA00092253,9
PA00092254,17
PA00092255,12
PA00092256,221
PA00092257,14
PA00092258,257
PA00092259,109
PA00092260,24
PA00092261,4
PA00092262,5
PA00092263,27
PA00092264,11
PA00092265,28
PA00092266,24
PA00092267,119
PA00092268,109
PA00092269,158
PA00092270,24
PA00092271,13
PA00092272,11
PA00092273,8
PA00092274,12
PA00092275,7
PA00092276,69
PA00092277,12
PA00092278,9
PA00092279,35
PA00092280,19
PA00092281,4
PA00092282,25
PA00092283,6
PA00092284,37
PA00092285,11
PA00092286,7
PA00092287,59
PA00092288,16
PA00092289,10
PA00092290,40
PA00092291,5
PA00092292,48
PA00092293,5
PA00092294,4
PA00092295,1
PA00092296,6
PA00092297,3
PA00092298,5
PA00092299,10
PA00092300,11
PA00092301,9
PA00092302,7
PA00092303,4
PA00092304,9
PA00092305,19
PA00092306,4
PA00092307,7
PA00092308,5
PA00092309,5
PA00092310,5
PA00092311,4
PA00092312,4
PA00092313,10
PA00092314,6
PA00092315,3
PA00092316,6
PA00092317,7
PA00092318,3
PA00092319,3
PA00092320,5
PA00092321,5
PA00092322,10
PA00092323,9
PA00092324,3
PA00092325,18
PA00092326,1
PA00092327,76
PA00092328,43
PA00092329,132
PA00092330,9
PA00092331,31
PA00092332,119
PA00092333,11
PA00092334,58
PA00092335,21
PA00092336,3
PA00092337,22
PA00092338,33
PA00092339,23
PA00092340,4
PA00092341,2
PA00092342,10
PA00092343,5
PA00092344,16
PA00092345,5
PA00092346,8
PA00092347,2
PA00092348,8
PA00092349,32
PA00092350,100
PA00092351,87
PA00092352,37
PA00092353,145
PA00092354,108
PA00092355,94
PA00092356,32
PA00092357,3
PA00092358,26
PA00092359,22
PA00092360,1
PA00092361,49
PA00092362,91
PA00092363,168
PA00092364,32
PA00092365,27
PA00092366,9
PA00092367,38
PA00092368,62
PA00092369,4
PA00092370,2
PA00092371,6
PA00092372,50
PA00092373,18
PA00092374,14
PA00092375,5
PA00092376,370
PA00092377,16
PA00092378,4
PA00092379,1
PA00092380,101
PA00092381,64
PA00092382,26
PA00092383,12
PA00092384,105
PA00092385,49
PA00092386,48
PA00092387,12
PA00092388,40
PA00092389,29
PA00092390,1
PA00092391,104
PA00092392,17
PA00092393,6
PA00092394,5
PA00092395,10
PA00092396,4
PA00092397,18
PA00092399,13
PA00092400,9
PA00092401,7
PA00092402,100
PA00092403,13
PA00092404,8
PA00092405,24
PA00092406,9
PA00092407,5
PA00092408,2
PA00092409,27
PA00092410,7
PA00092411,3
PA00092412,11
PA00092413,6
PA00092414,31
PA00092415,22
PA00092416,15
PA00092417,5
PA00092418,9
PA00092419,5
PA00092420,14
PA00092421,1
PA00092422,201
PA00092423,18
PA00092424,6
PA00092425,14
PA00092426,6
PA00092428,60
PA00092429,10
PA00092430,65
PA00092431,110
PA00092432,14
PA00092433,16
PA00092434,6
PA00092435,21
PA00092436,23
PA00092437,2
PA00092438,10
PA00092439,8
PA00092440,21
PA00092441,6
PA00092442,5
PA00092443,6
PA00092444,41
PA00092445,1
PA00092446,1
PA00092447,88
PA00092448,75
PA00092450,3
PA00092451,37
PA00092452,81
PA00092453,14
PA00092454,111
PA00092455,2
PA00092456,143
PA00092457,20
PA00092458,15
PA00092459,151
PA00092460,160
PA00092461,50
PA00092462,7
PA00092463,7
PA00092464,1
PA00092465,12
PA00092466,439
PA00092467,4
PA00092468,2
PA00092469,59
PA00092470,21
PA00092471,20
PA00092472,5
PA00092473,8
PA00092474,14
PA00092475,82
PA00092476,2
PA00092477,38
PA00092478,197
PA00092479,6
PA00092480,133
PA00092481,32
PA00092482,2
PA00092483,16
PA00092484,89
PA00092485,14
PA00092486,1
PA00092487,4
PA00092488,19
PA00092489,3
PA00092490,7
PA00092491,38
PA00092492,10
PA00092493,13
PA00092494,17
PA00092495,4
PA00092496,8
PA00092499,8
PA00092500,14
PA00092501,13
PA00092502,46
PA00092503,23
PA00092504,28
PA00092505,26
PA00092506,23
PA00092507,27
PA00092508,7
PA00092509,8
PA00092510,15
PA00092511,7
PA00092512,7
PA00092513,12
PA00092514,18
PA00092515,13
PA00092516,11
PA00092517,11
PA00092518,4
PA00092519,9
PA00092520,15
PA00092521,2
PA00092522,3
PA00092523,14
PA00092524,18
PA00092525,16
PA00092526,33
PA00092527,13
PA00092528,115
PA00092529,16
PA00092531,7
PA00092532,21
PA00092533,10
PA00092534,40
PA00092535,25
PA00092536,29
PA00092537,15
PA00092538,7
PA00092539,18
PA00092540,32
PA00092541,3
PA00092542,11
PA00092543,99
PA00092544,90
PA00092545,4
PA00092546,29
PA00092547,48
PA00092548,11
PA00092549,16
PA00092550,21
PA00092551,10
PA00092552,14
PA00092553,31
PA00092554,13
PA00092555,28
PA00092556,21
PA00092557,12
PA00092558,13
PA00092559,7
PA00092560,8
PA00092561,13
PA00092562,22
PA00092563,6
PA00092564,18
PA00092565,262
PA00092566,11
PA00092567,13
PA00092568,10
PA00092569,5
PA00092570,12
PA00092571,25
PA00092572,3
PA00092573,7
PA00092574,45
PA00092575,5
PA00092576,7
PA00092577,74
PA00092578,10
PA00092579,18
PA00092580,7
PA00092581,16
PA00092582,30
PA00092583,31
PA00092584,26
PA00092585,46
PA00092586,37
PA00092587,207
PA00092588,4
PA00092589,138
PA00092590,37
PA00092591,3
PA00092592,7
PA00092593,16
PA00092594,49
PA00092595,1
PA00092596,18
PA00092597,3
PA00092598,2
PA00092599,7
PA00092600,15
PA00092601,15
PA00092602,3
PA00092603,1
PA00092604,3
PA00092605,351
PA00092606,12
PA00092607,14
PA00092608,66
PA00092609,42
PA00092610,3
PA00092611,10
PA00092612,9
PA00092613,12
PA00092614,12
PA00092615,499
PA00092616,89
PA00092617,8
PA00092618,3
PA00092619,8
PA00092620,15
PA00092621,3
PA00092622,15
PA00092623,5
PA00092624,9
PA00092625,4
PA00092626,5
PA00092627,21
PA00092628,3
PA00092629,31
PA00092630,19
PA00092631,14
PA00092632,16
PA00092633,318
PA00092634,3
PA00092635,285
PA00092636,5
PA00092637,3
PA00092638,29
PA00092639,9
PA00092640,139
PA00092641,9
PA00092642,26
PA00092643,9
PA00092644,92
PA00092645,19
PA00092646,29
PA00092647,13
PA00092648,30
PA00092649,21
PA00092650,2
PA00092651,11
PA00092652,20
PA00092653,6
PA00092654,4
PA00092655,19
PA00092656,48
PA00092657,38
PA00092658,7
PA00092659,15
PA00092660,13
PA00092661,124
PA00092662,9
PA00092663,13
PA00092664,7
PA00092665,23
PA00092666,2
PA00092667,15
PA00092668,5
PA00092670,33
PA00092671,11
PA00092672,33
PA00092673,7
PA00092674,22
PA00092675,28
PA00092676,15
PA00092677,41
PA00092678,7
PA00092679,12
PA00092680,13
PA00092681,12
PA00092682,3
PA00092683,47
PA00092684,3
PA00092685,129
PA00092686,7
PA00092687,137
PA00092689,84
PA00092690,4
PA00092691,104
PA00092692,31
PA00092693,27
PA00092694,10
PA00092695,19
PA00092696,80
PA00092697,13
PA00092698,3
PA00092699,6
PA00092700,14
PA00092701,2
PA00092702,12
PA00092703,46
PA00092704,1
PA00092705,54
PA00092706,4
PA00092707,6
PA00092708,12
PA00092709,3
PA00092710,20
PA00092711,64
PA00092712,50
PA00092713,2
