# Instantané Wikimedia Commons : fichiers dont la page cite la référence Mérimée.
# Généré par `python -m merimee_etl.commons`, jamais à la main.
# Complète `wikidata_images.csv` ; ce n'est pas une décision éditoriale.
reference,fichier
PA00090190,"Pointe de la Torche, Finistère.jpg"
PA00090211,Pierre cultuelle gauloise - Ploudaniel.jpg
PA00090286,Dolmen du Moulin René.jpg
PA00090293,Pont Aven-Puits.jpg
PA00090309,Porspoder (29) Grand menhir de l'île Melon.JPG
PA00090915,Vitré - 26 rue Baudrairie 01.jpg
PA00091003,Auray - place Saint-Sauveur.jpg
PA00091003,Rue Saint René 6 Saint Saveur 1.jpg
PA00091122,Carnac alignement Menec 2018.jpg
PA00091165,Dolmens de Kerorang.jpg
PA00091166,Dolmen de Roc'h an Ezel.jpg
PA00091167,Dolmen Er Mar.jpg
PA00091168,Dolmens de Parc Guren.jpg
PA00091283,Maison forte Hennebont.png
PA00091525,Monuments mégalithiques du Morbihan. Plouharnel - F. Gaillard - btv1b8432890p (27 of 31).jpg
PA00091675,Menhir de Clos et Bé.jpg
PA00091676,Menhir de Pen-guen.jpg
PA00091705,St-PHILIBERT Men-Milene.jpg
PA00091868,Maison rue Charles Faucon à Arlanc.jpg
PA00091869,La motte castrale de Cours.jpg
PA00091869,Motte féodale de Cours à Arlanc.jpg
PA00091869,Motte féodale de Cours.jpg
PA00091986,"Basique du Port, Clermont-Ferrand, Puy de Dôme 01.jpg"
PA00091996,Fontaine Urbain II and Notre Dame Assomption - Clermont-Ferrand.jpg
PA00091996,Fontaine Urbain II and Notre Dame Assomption 2 - Clermont-Ferrand.jpg
PA00091996,Fontaine Urbain II and Notre Dame Assomption 6 - Clermont-Ferrand.jpg
PA00092094,Eglise de Courtesserre - Choeur - Courpière - Médiathèque de l'architecture et du patrimoine - APMH00035086.jpg
PA00092197,Maisons - Montaigut-en-Combraille - Médiathèque de l'architecture et du patrimoine - APMH00035439.jpg
PA00092224,MAISON DES MARCHANDS À OLLIERGUES PUY DE DÔME 63.jpg
PA00092349,Château des martinanches puy de dome.jpg
PA00092349,Château des martinanches.jpg
PA00092349,Le château des martinanches.jpg
PA00092418,Place du marchidial - sauxillanges.jpg
PA00092424,Pierre des quatre curés - Face nord.jpg
PA00092424,Pierre des quatre curés - Face ouest.jpg
PA00092543,Château de Beauvezeix.jpg
PA00092553,Eglise - Travées de la nef - Neuville - Médiathèque de l'architecture et du patrimoine - APMH00035426.jpg
PA00092585,Maison du Bailli Aurec-sur-Loire.jpg
PA00093067,Eglise Saint-Patrocle;Prieuré (ancien) - Ensemble ouest et entrée de l'ancien monastère - Colombier - Médiathèque de l'architecture et du patrimoine - APMH00000915.jpg
PA00093509,Château d'Escorailles - Tour Nord - 1.JPG
PA00093509,Château d'Escorailles - Tour Nord - 2.JPG
PA00093509,Château d'Escorailles - Tour Nord-Ouest ouverte de lierre.JPG
PA00093513,Palmont Castle (1).jpg
PA00093513,Palmont Castle (2).jpg
PA00093513,Palmont Castle (3).jpg
